commit,conf_high,conf_medium,conf_low,sev_high,sev_medium,sev_low,unique_cwes
9b5ad40,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
810edfd,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
b5a6c93,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
ba90b76,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
6b271ef,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
8081557,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
1e33191,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
9cb1ffa,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
9a3f86e,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
0a0f9b4,225,58,15,8,174,116,"CWE-20, CWE-259, CWE-327, CWE-330, CWE-400, CWE-502, CWE-605, CWE-703, CWE-78, CWE-79, CWE-80, CWE-838, CWE-89"
